index value uncertainty
0 3.0141143842e+00 2.4581469983e-03
1 1.0470099830e+00 1.2444812492e-03
2 1.0733320267e+00 1.4781475872e-03
3 1.0969273496e+00 2.0792040647e-03
4 1.1234597215e+00 3.6589452868e-03
5 1.1424456799e+00 3.2664092945e-03
6 1.1668967835e+00 3.2193646488e-03
7 3.5675547065e+00 1.0266861678e-02
8 1.4625760283e+00 6.8205774310e-02
9 1.4445319153e+00 4.6660247730e-02
10 1.4112112236e+00 3.8624327145e-02
11 1.4768488466e+00 7.5412268381e-02
12 1.4402157512e+00 3.0770077251e-02
13 1.4835620336e+00 2.4783936757e-02
14 5.5340000000e-01 8.9000000000e-03
15 4.1600000000e-01 6.7000000000e-02
16 3.7100000000e-01 4.6000000000e-02
17 3.1400000000e-01 3.7000000000e-02
18 3.5300000000e-01 7.2000000000e-02
19 2.9800000000e-01 2.8000000000e-02
20 3.1700000000e-01 2.3000000000e-02
